marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm,carrozzeria_prevalente
ABARTH,500e,electric,34400,38150.0,47.0,185.0,15.0,,3673.0,4,True,anteriore,1682.0,1518.0,berlina 3/5 porte
ABARTH,600e,electric,42250,44250.0,105.0,360.0,18.0,,4187.0,2,True,anteriore,1779.0,1557.0,Suv/Fuoristrada
ALFA ROMEO,Giulia,diesel,52750,58000.0,136.0,480.0,6.5,,4646.5,4,True,integrale permanente,1860.0,1436.0,berlina 2/4 porte
ALFA ROMEO,Giulia,petrol,59700,67700.0,206.0,480.0,6.9,,4650.0,4,False,integrale permanente,1860.0,1436.0,berlina 2/4 porte
ALFA ROMEO,Junior,electric,39800,42500.0,62.0,400.0,15.0,,4173.0,5,True,anteriore,1781.0,1539.0,Suv/Fuoristrada
ALFA ROMEO,Junior,full_hybrid,31050,35250.0,107.0,415.0,5.5,,4173.0,7,True,anteriore,1781.0,1539.0,Suv/Fuoristrada
ALFA ROMEO,Stelvio,diesel,57850,63100.0,136.0,525.0,5.4,,4687.0,4,False,integrale permanente,1903.0,1671.0,Suv/Fuoristrada
ALFA ROMEO,Stelvio,petrol,111500,111500.0,382.0,525.0,9.8,,4702.0,1,False,integrale permanente,1903.0,1671.0,Suv/Fuoristrada
ALFA ROMEO,Tonale,diesel,40250,43125.0,96.0,500.0,5.2,,4522.0,6,True,anteriore,1841.0,1601.0,Suv/Fuoristrada
ALFA ROMEO,Tonale,full_hybrid,42050,50300.0,163.0,442.5,6.5,,4522.0,12,True,anteriore,1841.0,1601.0,Suv/Fuoristrada
ALPINE,A110,petrol,68200,125200.0,221.0,196.0,6.0,,4181.0,6,False,posteriore,1798.0,1252.0,coupé
ALPINE,A290,electric,39000,42200.0,78.0,313.0,18.0,,3997.0,4,True,anteriore,1823.0,1512.0,berlina 3/5 porte
ALPINE,A390,electric,67500,67500.0,98.0,532.0,18.0,,4615.0,1,True,integrale permanente,1885.0,1525.0,Suv/Fuoristrada
ASTON MARTIN,DB12,petrol,249899,266302.0,507.5,234.0,9.9,,4725.0,4,False,posteriore,1980.0,1295.0,coupé
ASTON MARTIN,DBX,petrol,274504,284498.5,520.0,638.0,11.8,,5040.0,4,False,integrale permanente,1995.0,1680.0,Suv/Fuoristrada
ASTON MARTIN,Vahlalla,full_hybrid,1014705,1014705.0,783.0,,6.5,,4842.0,1,True,integrale permanente,2000.0,1226.0,coupé
ASTON MARTIN,Vanquish,petrol,405731,421621.5,614.0,,8.5,,4855.0,2,True,posteriore,1980.0,1293.0,coupé
ASTON MARTIN,Vantage,petrol,212991,215554.0,494.5,346.0,8.5,,4495.0,2,True,posteriore,1980.0,1275.0,coupé
ASTON MARTIN,Vantage Roadster,petrol,224268,226831.0,494.5,346.0,8.5,,4495.0,2,True,posteriore,1980.0,1275.0,cabrio e spider
AUDI,A1,petrol,27800,32050.0,85.0,335.0,5.0,,4035.0,15,False,anteriore,1740.0,1409.0,berlina 3/5 porte
AUDI,A3 4p,diesel,33400,39900.0,85.0,425.0,3.6,,4505.0,7,False,anteriore,1816.0,1417.0,berlina 2/4 porte
AUDI,A3 4p,petrol,32250,49100.0,150.0,425.0,5.0,,4505.0,9,False,anteriore,1816.0,1417.0,berlina 2/4 porte
AUDI,A3 4p,full_hybrid,34450,39450.0,85.0,425.0,5.0,,4505.0,7,False,anteriore,1816.0,1417.0,berlina 2/4 porte
AUDI,A3 5p,diesel,32100,40350.0,110.0,380.0,3.9,,4352.0,10,False,anteriore,1816.0,1441.0,berlina 3/5 porte
AUDI,A3 5p,petrol,30950,50300.0,150.0,325.0,6.0,,4353.0,12,False,anteriore,1816.0,1441.0,berlina 3/5 porte
AUDI,A3 5p,full_hybrid,33150,42550.0,110.0,380.0,5.0,,4352.0,17,False,anteriore,1816.0,1441.0,berlina 3/5 porte
AUDI,Audi A5,petrol,48550,57900.0,150.0,445.0,6.0,,4832.0,9,False,integrale permanente,1860.0,1444.0,berlina 2/4 porte
AUDI,Audi A5,full_hybrid,56050,67400.0,220.0,417.0,4.9,,4832.0,14,False,integrale permanente,1860.0,1444.0,berlina 2/4 porte
AUDI,Q2,diesel,33650,41400.0,110.0,405.0,4.7,,4212.0,12,False,anteriore,1798.0,1508.0,Suv/Fuoristrada
AUDI,Q2,petrol,32500,38450.0,110.0,405.0,5.4,,4212.0,15,False,anteriore,1798.0,1508.0,Suv/Fuoristrada
AUDI,Q3,diesel,45500,52200.0,126.0,488.0,5.2,,4531.0,12,True,anteriore,1859.0,1601.0,Suv/Fuoristrada
AUDI,Q3,petrol,51000,55700.0,150.0,488.0,8.5,,4531.0,8,True,anteriore,1859.0,1601.0,Suv/Fuoristrada
AUDI,Q3,full_hybrid,44200,51500.0,155.0,431.5,6.5,,4531.0,12,True,anteriore,1859.0,1601.0,Suv/Fuoristrada
AUDI,Q4 e-tron,electric,42690,61800.0,77.0,520.0,18.0,,4588.0,13,True,posteriore,1865.0,1632.0,Suv/Fuoristrada
BENTLEY,Bentayga,petrol,222574,278038.0,404.0,484.0,12.0,,5215.0,8,False,integrale permanente,1998.0,1728.0,Suv/Fuoristrada
BENTLEY,Bentayga,full_hybrid,222574,255124.5,340.0,484.0,3.6,,5125.0,4,False,integrale permanente,1998.0,1728.0,Suv/Fuoristrada
BENTLEY,Continental GT,full_hybrid,304591,331913.0,575.0,197.0,6.5,,4895.0,4,True,integrale permanente,1966.0,1394.5,coupé
BENTLEY,Flying Spur,full_hybrid,287778,299106.5,575.0,346.0,6.5,,5316.0,2,True,integrale permanente,2220.0,1474.0,berlina 2/4 porte
BMW,Serie 1,diesel,39900,42470.0,110.0,380.0,5.2,,4361.0,4,True,anteriore,1800.0,1459.0,berlina 3/5 porte
BMW,Serie 1,petrol,35400,39960.0,90.0,380.0,6.5,,4361.0,8,True,anteriore,1800.0,1459.0,berlina 3/5 porte
BMW,Serie 1,full_hybrid,37200,43730.0,115.0,300.0,5.5,,4361.0,13,True,anteriore,1800.0,1459.0,berlina 3/5 porte
BMW,Serie 2 Active Tourer,diesel,41300,43850.0,110.0,470.0,4.0,,4386.0,3,False,anteriore,1824.0,1576.0,monovolume e multispazio
BMW,Serie 2 Active Tourer,petrol,37100,40050.0,95.0,470.0,5.3,,4386.0,6,False,anteriore,1824.0,1576.0,monovolume e multispazio
BMW,Serie 2 Active Tourer,phev,39900,47900.0,150.0,415.0,5.0,,4386.0,22,False,anteriore,1824.0,1576.0,monovolume e multispazio
BMW,Serie 2 Coup&eacute;,petrol,46200,53625.0,157.5,390.0,6.0,,4537.0,8,False,posteriore,1838.0,1390.0,coupé
BMW,Serie 2 Coup&eacute;,full_hybrid,54200,60425.0,214.0,390.0,5.8,,4542.5,4,False,posteriore,1838.0,1390.0,coupé
BMW,Serie 2 Gran Coup&eacute;,diesel,43500,46070.0,110.0,430.0,4.0,,4546.0,4,False,anteriore,1800.0,1445.0,berlina 2/4 porte
BMW,Serie 2 Gran Coup&eacute;,petrol,39000,44330.0,90.0,360.0,5.3,,4546.0,7,False,anteriore,1800.0,1445.0,berlina 2/4 porte
BMW,Serie 2 Gran Coup&eacute;,full_hybrid,42000,48060.0,115.0,360.0,4.6,,4546.0,12,False,anteriore,1800.0,1445.0,berlina 2/4 porte
BMW,X1,diesel,45200,48725.0,110.0,476.0,5.2,,4500.0,4,True,integrale permanente,1845.0,1642.0,Suv/Fuoristrada
BMW,X1,petrol,42500,48600.0,100.0,476.0,6.5,,4500.0,6,True,integrale permanente,1845.0,1642.0,Suv/Fuoristrada
BMW,X1,full_hybrid,45200,53950.0,145.0,500.0,6.5,,4500.0,29,True,integrale permanente,1845.0,1642.0,Suv/Fuoristrada
BMW,X2,diesel,46800,51050.0,110.0,495.0,4.3,,4554.0,3,False,anteriore,1845.0,1590.0,Suv/Fuoristrada
BMW,X2,petrol,65300,67200.0,221.0,560.0,8.5,,4567.0,2,True,anteriore,1845.0,1590.0,Suv/Fuoristrada
BMW,X2,full_hybrid,46800,53050.0,110.0,495.0,5.5,,4554.0,9,True,anteriore,1845.0,1590.0,Suv/Fuoristrada
BMW,iX1,electric,43000,55850.0,68.0,490.0,15.0,,4500.0,9,True,anteriore,1845.0,1616.0,Suv/Fuoristrada
BMW,iX2,electric,45100,57550.0,68.0,525.0,15.0,,4554.0,7,True,anteriore,1845.0,1560.0,Suv/Fuoristrada
BYD,Atto 2,electric,30290,32290.0,65.0,400.0,15.0,,4310.0,3,True,anteriore,1830.0,1675.0,Suv/Fuoristrada
BYD,Atto 2 DM-i,full_hybrid,27600,28850.0,139.0,425.0,6.5,,4330.0,2,True,anteriore,1830.0,1675.0,Suv/Fuoristrada
BYD,Atto 3,electric,43800,45300.0,87.5,490.0,18.0,,4455.0,2,True,integrale permanente,1875.0,1615.0,Suv/Fuoristrada
BYD,Dolphin,electric,35090,36090.0,65.0,364.0,15.0,,4290.0,2,True,anteriore,1770.0,1570.0,berlina 3/5 porte
BYD,Dolphin Surf,electric,19790,23290.0,35.0,308.0,15.0,,3990.0,3,True,anteriore,1720.0,1590.0,berlina 3/5 porte
BYD,Seal 6 DM-i,full_hybrid,39700,44400.0,156.0,500.0,0.9,,4840.0,3,False,anteriore,1875.0,1495.0,station wagon
BYD,Seal DM-i,full_hybrid,38200,42900.0,156.0,491.0,0.9,,4840.0,3,False,anteriore,1875.0,1495.0,berlina 2/4 porte
BYD,Seal U DM-i,full_hybrid,39800,42300.0,160.0,425.0,0.9,,4775.0,3,False,anteriore,1890.0,1668.0,Suv/Fuoristrada
CITROEN,Berlingo,diesel,26230,27455.0,75.0,775.0,4.1,,4403.0,2,False,anteriore,1848.0,1880.0,monovolume e multispazio
CITROEN,C3,petrol,16700,19300.0,74.0,310.0,5.5,,4015.0,5,True,anteriore,1755.0,1575.0,berlina 3/5 porte
CITROEN,C3,full_hybrid,21750,22425.0,81.0,310.0,5.5,,4015.0,4,True,anteriore,1755.0,1575.0,berlina 3/5 porte
CITROEN,C3 Aicross,electric,26790,31090.0,53.0,460.0,15.0,,4395.0,8,True,anteriore,1795.0,1660.0,Suv/Fuoristrada
CITROEN,C3 Aicross,petrol,20200,23250.0,74.0,460.0,5.5,,4395.0,4,True,anteriore,1795.0,1660.0,Suv/Fuoristrada
CITROEN,C3 Aicross,full_hybrid,26750,27550.0,107.0,460.0,5.5,,4395.0,4,True,anteriore,1795.0,1660.0,Suv/Fuoristrada
CITROEN,C4,petrol,27900,28900.0,96.0,380.0,4.8,,4350.0,2,False,anteriore,1800.0,1525.0,berlina 3/5 porte
CITROEN,C4,full_hybrid,26550,30550.0,107.0,380.0,5.5,,4350.0,5,True,anteriore,1800.0,1525.0,berlina 3/5 porte
CITROEN,C4 X,petrol,29400,30400.0,96.0,510.0,6.5,,4580.0,2,True,anteriore,1800.0,1525.0,Suv/Fuoristrada
CITROEN,C4 X,full_hybrid,29850,31800.0,107.0,510.0,5.5,,4580.0,4,True,anteriore,1800.0,1525.0,Suv/Fuoristrada
CITROEN,C5 Aircross,electric,37690,40690.0,104.0,565.0,18.0,,4650.0,3,True,anteriore,1902.0,1690.0,Suv/Fuoristrada
CITROEN,C5 Aircross,full_hybrid,33990,42990.0,143.0,565.0,1.6,,4650.0,7,False,anteriore,1902.0,1690.0,Suv/Fuoristrada
CITROEN,E-C3,electric,20490,25150.0,53.0,310.0,15.0,,4015.0,6,True,anteriore,1755.0,1577.0,berlina 3/5 porte
CITROEN,E-C4 X,electric,35150,36550.0,59.5,510.0,15.0,,4580.0,4,True,anteriore,1800.0,1525.0,Suv/Fuoristrada
CUPRA,Born,electric,40100,41750.0,70.0,385.0,15.0,,4324.0,5,True,posteriore,1809.0,1540.0,berlina 3/5 porte
CUPRA,Formentor,diesel,41750,43050.0,110.0,450.0,5.2,,4451.0,3,True,anteriore,1839.0,1511.0,Suv/Fuoristrada
CUPRA,Formentor,petrol,37200,52100.0,195.0,420.0,7.7,,4451.0,13,False,anteriore,1839.0,1511.0,Suv/Fuoristrada
CUPRA,Formentor,phev,40850,48000.0,150.0,345.0,1.6,,4451.0,9,False,anteriore,1839.0,1511.0,Suv/Fuoristrada
CUPRA,Leon berlina,diesel,38150,39100.0,110.0,380.0,5.2,,4398.0,3,True,anteriore,1799.0,1444.0,berlina 3/5 porte
CUPRA,Leon berlina,petrol,33450,42225.0,165.5,380.0,4.9,,4398.0,6,False,anteriore,1799.0,1444.0,berlina 3/5 porte
CUPRA,Leon berlina,full_hybrid,37200,44450.0,150.0,270.0,6.5,,4399.0,9,True,anteriore,1799.0,1444.0,berlina 3/5 porte
CUPRA,Leon station,diesel,38900,40000.0,110.0,620.0,5.2,,4656.0,3,True,anteriore,1799.0,1438.0,station wagon
